Id,Label,Type,gaza-ontology#containsEntity,gaza-ontology#hasTitle,22-rdf-syntax-ns#type,gaza-ontology#hasDate,gaza-ontology#hasText,rdf-schema#label,22-rdf-syntax-ns#first,22-rdf-syntax-ns#rest,rdf-schema#domain,rdf-schema#range,rdf-schema#subClassOf
http://example.com/gaza-ontology#NewsArticle_642,gaza-ontology#NewsArticle_642,gaza-ontology#NewsArticle,,ولي العهد السعودي: نرفض استهداف المدنيين في غزة تحت أي ذريعة,,2023-10-20,أكد ولي العهد السعودي محمد بن سلمان آل سعود الرفض القاطع لاستهداف المدنيين الفلسطينيين بأي شكل من الأشكال، وتحت أي ذريعة، ودعا إلى حل عادل لإقامة دولة فلسطينية، وفق حدود 1967.,,,,,,
http://example.com/gaza-ontology#مونيتور,gaza-ontology#مونيتور,gaza-ontology#Organization,http://example.com/gaza-ontology#NewsArticle_1801,,,,,,,,,,
http://example.com/gaza-ontology#معمر,gaza-ontology#معمر,gaza-ontology#Person,http://example.com/gaza-ontology#NewsArticle_4320,,,,,,,,,,
http://example.com/gaza-ontology#NewsArticle_2597,gaza-ontology#NewsArticle_2597,gaza-ontology#NewsArticle,,ماكرون: القضاء على حماس بالكامل يعني 10 سنوات من الحرب,,2023-12-02,حذر الرئيس الفرنسي إيمانويل ماكرون إسرائيل من أن هدفها المعلن بالقضاء على حركة حماس بشكل كامل قد يؤدي إلى حرب تستمر 10 سنوات، وأعلن أنه في طريقه إلى قطر سعيا لاستئناف الهدنة.,,,,,,
http://example.com/gaza-ontology#ارث,gaza-ontology#ارث,gaza-ontology#Person,http://example.com/gaza-ontology#NewsArticle_4358,,,,,,,,,,
http://example.com/gaza-ontology#حانون,gaza-ontology#حانون,gaza-ontology#Location,http://example.com/gaza-ontology#NewsArticle_3717,,,,,,,,,,
http://example.com/gaza-ontology#NewsArticle_2036,gaza-ontology#NewsArticle_2036,gaza-ontology#NewsArticle,,محام فرنسي: لدينا ملف مكتمل أمام الجنائية الدولية لإبادة جماعية في غزة,,2023-11-20,قال خبير القانون الدولي جيل دوفير إن تعريف الإبادة الجماعية تحقق تماما في العدوان العسكري الذي تشنه إسرائيل على قطاع غزة بفرض الحصار على القطاع وانعدام الغذاء ومنع الوقود والتهجير القسري والقصف.,,,,,,
http://example.com/gaza-ontology#لوفيغارو,gaza-ontology#لوفيغارو,gaza-ontology#Organization,http://example.com/gaza-ontology#NewsArticle_1823,,,,,,,,,,
http://example.com/gaza-ontology#NewsArticle_1706,gaza-ontology#NewsArticle_1706,gaza-ontology#NewsArticle,,11180 شهيدا في غزة و22 مستشفى خارج الخدمة,,2023-11-12,أعلن المكتب الإعلامي الحكومي في غزة -اليوم الأحد- خروج 22 مستشفى في القطاع عن الخدمة بسبب العدوان الإسرائيلي، وارتفاع عدد الشهداء إلى 11 ألفا و180.,,,,,,
http://example.com/gaza-ontology#كحلوت,gaza-ontology#كحلوت,gaza-ontology#Person,http://example.com/gaza-ontology#NewsArticle_1474,,,,,,,,,,
http://example.com/gaza-ontology#NewsArticle_4361,gaza-ontology#NewsArticle_4361,gaza-ontology#NewsArticle,,المقاومة تطلق رشقات صاروخية وتكبد الاحتلال مزيدا من الخسائر بغزة,,2024-01-16,قالت كتائب القسام إن مقاتليها استهدفوا آليات للاحتلال الإسرائيلي وخاضوا اشتباكات من مسافة صفر مع جنوده، في حين أقر الجيش الإسرائيلي بمقتل ضابط وجندي وجرح 26 آخرين في معارك قطاع غزة خلال 24 ساعة.,,,,,,
http://example.com/gaza-ontology#NewsArticle_4131,gaza-ontology#NewsArticle_4131,gaza-ontology#NewsArticle,,بلينكن يؤكد لعباس دعم واشنطن لإقامة دولة فلسطينية,,2024-01-10,التقى وزير الخارجية الأميركي أنتوني بلينكن برئيس السلطة الفلسطينية محمود عباس في الضفة الغربية المحتلة اليوم الأربعاء.,,,,,,
